SNe	Obs	redshift	BminusV	Type1	Type2	Type3	Bmax	Vmax	Rmax	Imax	B_scores1	V_scores1	R_scores1	I_scores1	B_scores2	V_scores2	R_scores2	I_scores2	B_scores3	V_scores3	R_scores3	I_scores3	B_scores4	V_scores4	R_scores4	I_scores4	B_scoresSD1	V_scoresSD1	R_scoresSD1	I_scoresSD1	B_scoresSD2	V_scoresSD2	R_scoresSD2	I_scoresSD2	B_scoresSD3	V_scoresSD3	R_scoresSD3	I_scoresSD3	B_scoresSD4	V_scoresSD4	R_scoresSD4	I_scoresSD4
SN2002dp	LOSS	0.010299792	0.0552874545473774	NA	NA	NA	14.523	14.449	14.459	14.604	2.099	1.309	0.332	-0.279	-0.445	-0.241	-1.201	0.593	-0.25	0.19	-0.366	1.365	-0.169	-0.05	0.243	-0.362	0.052	0.046	0.037	0.03	0.026	0.023	0.036	0.041	0.055	0.03	0.025	0.074	0.03	0.024	0.019	0.053
SN2002er	LOSS	0.00904459	0.102168789957796	NA	NA	HV	14.243	14.12	14.087	14.293	2.223	1.118	0.983	-0.482	-0.351	-0.184	-0.153	0.809	0.046	-0.123	0.052	1.52	-0.134	-0.021	0.315	-0.529	0.085	0.055	0.056	0.045	0.066	0.031	0.032	0.026	0.048	0.033	0.027	0.026	0.054	0.029	0.022	0.033
SN2002fb	LOSS	0.015441683	0.404609207407631	NA	CL	NA	16.872	16.361	16.237	16.156	3.502	4.977	4.821	4.861	1.948	0.608	-0.068	0.423	0.509	-0.125	-0.612	-0.331	-0.083	0.138	-0.113	-0.827	0.167	0.129	0.125	0.191	0.141	0.083	0.053	0.076	0.126	0.044	0.046	0.062	0.093	0.073	0.073	0.059
SN2002fk	LOSS	0.007022525	-0.097124409348174	NA	NA	N	13.195	13.281	13.377	13.538	1.077	0.395	0.047	-0.639	-0.688	-0.161	0.2	0.184	-0.063	-0.022	0.057	-0.529	0.157	0.134	0.261	0.944	0.049	0.05	0.041	0.033	0.028	0.031	0.031	0.032	0.051	0.036	0.031	0.029	0.036	0.028	0.032	0.027
SN2002ha	LOSS	0.013197797	-0.0624798454098237	LVG	BL	N	14.737	14.796	14.799	14.948	2.548	1.83	2.012	1.152	-0.136	-0.119	-0.298	0.867	-0.184	-0.309	0.11	2.001	-0.463	-0.194	0.362	-0.274	0.078	0.06	0.047	0.077	0.062	0.04	0.035	0.046	0.05	0.04	0.032	0.042	0.068	0.038	0.026	0.065
SN2003fa	LOSS	0.039132405	-0.0506808065256941	NA	NA	NA	16.669	16.708	16.775	17.038	-0.1	-0.189	-0.774	-1.412	-0.69	-0.136	0.352	0.922	-0.052	0.372	-0.243	-0.392	0.131	0.081	-0.082	-0.116	0.103	0.104	0.097	0.146	0.076	0.073	0.027	0.082	0.041	0.038	0.045	0.069	0.049	0.065	0.055	0.067
SN2004as	LOSS	0.0320902	0.0924897184487428	NA	BL	HV	16.979	16.841	16.874	17.181	0.863	0.902	-0.69	-1.15	-0.26	-0.12	-0.469	0.016	0.26	0.006	-0.408	0.452	-0.273	0.017	-0.128	0.032	0.208	0.192	0.134	0.211	0.153	0.099	0.069	0.152	0.066	0.048	0.076	0.152	0.085	0.076	0.075	0.103
SN2004dt	LOSS	0.01854583	0.0912824682763702	HVG	BL	HV	15.23	15.141	15.337	15.45	1.414	0.265	-0.885	-0.729	-0.374	0.137	-0.675	-1.198	-0.115	0.226	0.194	-0.058	-0.614	-0.673	-0.28	-0.207	0.087	0.065	0.052	0.058	0.067	0.044	0.029	0.036	0.051	0.032	0.024	0.034	0.054	0.035	0.029	0.027
SN2004eo	LOSS	0.014761545	-0.0269315306185796	NA	NA	NA	15.084	15.095	15.016	15.251	2.351	0.994	0.926	-0.056	-0.137	-0.25	-1.161	0.024	0.296	-0.35	0.088	1.221	-0.453	-0.273	0.112	-0.207	0.134	0.082	0.059	0.06	0.109	0.057	0.042	0.045	0.057	0.042	0.031	0.065	0.076	0.046	0.034	0.053
SN2004gs	LOSS	0.0283	0.136744638184869	NA	CL	N	17.179	17.006	16.906	16.843	1.762	1.015	0.672	-0.304	0.571	0.007	0.263	-0.083	0.095	0.146	-0.023	-0.255	0.129	0.057	-0.082	-0.112	0.275	0.536	0.503	0.597	0.089	0.044	0.107	0.09	0.131	0.079	0.067	0.137	0.033	0.044	0.079	0.17
