SNe	Obs	redshift	BminusV	Type1	Type2	Type3	Bmax	Vmax	Rmax	Imax	B_scores1	V_scores1	R_scores1	I_scores1	B_scores2	V_scores2	R_scores2	I_scores2	B_scores3	V_scores3	R_scores3	I_scores3	B_scores4	V_scores4	R_scores4	I_scores4	B_scoresSD1	V_scoresSD1	R_scoresSD1	I_scoresSD1	B_scoresSD2	V_scoresSD2	R_scoresSD2	I_scoresSD2	B_scoresSD3	V_scoresSD3	R_scoresSD3	I_scoresSD3	B_scoresSD4	V_scoresSD4	R_scoresSD4	I_scoresSD4
SN2005ag	CSP	0.080048144	-0.0410196179849649	NA	NA	N	18.5	18.537	18.616	18.914	0.19	-0.019	1.355	1.899	-0.48	-0.285	-0.995	0.386	0.207	0.266	-0.269	0.207	0.034	-0.026	-0.302	-0.03	0.119	0.075	0.046	0.072	0.085	0.051	0.082	0.099	0.153	0.069	0.051	0.188	0.077	0.048	0.033	0.134
SN2005bl	CSP	0.025126049	0.761327931289969	NA	NA	NA	18.575	17.681	17.739	17.693	3.576	4.857	4.904	5.684	1.669	0.638	-0.706	1.32	0.574	-0.573	-0.06	-1.512	0.077	0.031	0.048	-0.017	0.294	0.29	0.215	0.304	0.119	0.128	0.094	0.1	0.105	0.068	0.145	0.078	0.06	0.053	0.111	0.111
SN2005iq	CSP	0.032954798	-0.0467127719657654	NA	NA	NA	16.749	16.796	16.827	17.298	2.949	1.383	2.408	2.137	-0.462	-0.163	-0.168	1.343	-0.197	-0.446	0.501	0.728	0.115	-0.049	0.74	0.164	0.09	0.076	0.066	0.072	0.058	0.032	0.043	0.067	0.057	0.036	0.036	0.15	0.059	0.048	0.033	0.077
SN2005ir	CSP	0.075400496	0.0477949793242693	NA	NA	NA	18.491	18.426	18.532	18.816	-0.425	0.505	0.018	2.054	-0.276	-0.157	0.254	0.327	0.074	-0.216	-0.15	0.338	0.169	-0.04	-0.173	0.308	0.204	0.143	0.393	0.157	0.138	0.088	0.097	0.13	0.132	0.098	0.089	0.196	0.093	0.078	0.1	0.093
SN2005kc	CSP	0.013663119	0.203572910479723	NA	NA	NA	15.583	15.363	15.419	15.704	2.127	1.014	-0.659	-0.726	-0.61	-0.189	-0.491	0.449	-0.165	0.277	-0.574	0.825	-0.001	-0.007	-0.056	-0.221	0.175	0.117	0.12	0.054	0.16	0.077	0.031	0.035	0.056	0.039	0.045	0.038	0.097	0.052	0.033	0.043
SN2005ke	CSP	0.004457083	0.565220846523189	NA	NA	NA	14.787	14.12	13.997	14.275	2.17	4.04	5.63	5.545	2.204	0.813	-0.089	0.083	0.972	0.03	-0.17	-0.394	-0.415	0.041	-0.319	-0.384	0.043	0.032	0.032	0.033	0.019	0.015	0.041	0.017	0.044	0.03	0.015	0.036	0.029	0.019	0.012	0.029
SN2005ki	CSP	0.020278362	-0.00270706799953757	LVG	BL	N	15.573	15.574	15.609	16.124	3.067	2.325	3.122	2.227	-0.466	-0.224	0.246	0.792	-0.76	0.021	0.463	1.476	-0.353	-0.203	0.22	0.154	0.061	0.044	0.03	0.037	0.037	0.038	0.069	0.043	0.074	0.059	0.038	0.055	0.036	0.026	0.022	0.057
SN2005M	CSP	0.025597	-0.00224703199764065	HVG	NA	N	15.962	15.951	16.139	16.527	-0.594	-0.472	-0.895	-1.607	-0.277	-0.238	0.139	0.64	-0.065	0.261	-0.002	0.147	0.15	0.178	-0.16	-0.421	0.048	0.038	0.026	0.029	0.028	0.019	0.018	0.031	0.042	0.021	0.015	0.045	0.029	0.022	0.014	0.048
SN2005W	CSP	0.007751029	0.137773168477898	NA	BL	N	14.183	14.03	14.125	14.513	1.292	1.459	-0.741	-2.296	-0.083	-0.619	-0.339	0.553	-0.094	0.042	-0.352	0.552	-0.086	-0.006	0.311	0.064	0.345	0.255	0.23	0.649	0.263	0.13	0.025	0.148	0.058	0.034	0.07	0.055	0.097	0.07	0.068	0.063
SN2006ax	CSP	0.01796	-0.0716430092172633	NA	NA	NA	15.038	15.095	15.312	15.729	0.688	0.14	-0.064	-0.842	-0.426	-0.029	-0.249	1.467	0	-0.146	-0.421	0.895	-0.022	0.034	0.137	-0.79	0.04	0.029	0.027	0.024	0.019	0.015	0.029	0.024	0.04	0.029	0.02	0.03	0.02	0.018	0.015	0.04
SN2006bh	CSP	0.010195053	-0.0278713651048736	NA	NA	NA	14.371	14.395	14.548	14.903	3.346	2.093	2.216	1.361	-0.356	-0.189	-0.255	0.807	0.006	-0.257	0.362	2.451	-0.283	-0.28	0.242	-0.536	0.038	0.03	0.033	0.023	0.024	0.021	0.045	0.026	0.047	0.032	0.022	0.055	0.033	0.02	0.012	0.036
SN2006bt	CSP	0.032476801	0.211243248023656	HVG	CL	N	17.002	16.772	16.99	17.238	-0.634	-0.306	-0.618	-1.062	0.656	0.381	-0.318	-0.891	0.058	0.255	0.057	0.351	-0.474	-0.493	-0.428	-0.261	0.068	0.05	0.04	0.044	0.061	0.037	0.041	0.049	0.075	0.023	0.034	0.055	0.06	0.033	0.016	0.032
SN2006et	CSP	0.021282724	0.154962315677174	LVG	SS	N	16.001	15.818	15.923	16.326	-0.269	-0.137	-0.629	-1.706	-0.43	-0.201	0.03	0.664	0.24	0.217	-0.195	0.195	0.197	0.168	0.048	-0.443	0.063	0.044	0.037	0.037	0.039	0.023	0.024	0.034	0.043	0.027	0.021	0.059	0.042	0.017	0.018	0.053
SN2006mr	CSP	0.005667254	0.701259511673104	NA	NA	NA	15.333	14.52	14.451	14.37	2.815	5.456	6.801	7.603	2.882	1.172	-0.813	1.253	2.209	-1.477	-0.754	0.47	0.04	0.317	0.53	-0.458	0.077	0.06	0.074	0.06	0.054	0.041	0.052	0.031	0.102	0.05	0.028	0.04	0.057	0.034	0.028	0.042
SN2006py	CSP	0.058825029	0.0871083677767004	NA	NA	NA	17.973	17.883	18.042	18.239	1.635	0.021	-0.706	3.281	-0.505	-0.166	0.485	0.194	-0.008	0.173	-0.005	0.365	-0.306	0.047	0.007	0.224	0.302	0.167	0.341	0.802	0.146	0.092	0.073	0.182	0.111	0.099	0.088	0.235	0.06	0.038	0.1	0.112
SN2006X	CSP	0.006376078	1.27988501444149	NA	BL	HV	15.248	13.94	13.635	13.745	0.303	0.258	-0.106	-1.07	0.357	0.094	0.119	-0.205	0	-0.255	0.31	0.515	-0.295	-0.017	0.162	0.545	0.037	0.034	0.026	0.025	0.024	0.012	0.027	0.031	0.042	0.025	0.022	0.023	0.028	0.011	0.011	0.021
SN2007af	CSP	0.006172604	0.0467592012661164	HVG	BL	N	13.159	13.093	13.242	13.623	1.648	0.905	0.281	-0.402	-0.461	-0.345	-0.521	0.472	0.056	0.071	-0.147	0.734	-0.012	0.021	0.214	0.138	0.052	0.04	0.039	0.031	0.016	0.016	0.03	0.033	0.04	0.027	0.022	0.031	0.018	0.014	0.014	0.035
SN2007ax	CSP	0.007934489	0.727743679912118	NA	NA	NA	16.279	15.474	15.429	15.435	2.239	5.037	5.664	7.769	2.288	0.801	0.12	1.002	0.216	-0.318	-0.666	-0.545	0.318	0.416	0.294	0.61	0.121	0.056	0.051	0.067	0.091	0.047	0.051	0.037	0.148	0.068	0.036	0.033	0.079	0.042	0.037	0.046
SN2007ca	CSP	0.015146812	0.297229068045112	NA	NA	NA	15.951	15.64	15.721	15.989	-0.275	-0.491	-0.364	-0.679	-0.471	0.065	0.477	1.292	0.274	0.062	-0.29	0.05	0.161	-0.015	-0.05	-0.419	0.116	0.104	0.04	0.048	0.097	0.094	0.067	0.031	0.043	0.051	0.037	0.044	0.072	0.064	0.03	0.047
SN2007le	CSP	0.005607546	0.294717601075357	HVG	NA	HV	13.905	13.588	13.64	14.083	0.436	0.084	-0.051	-1.127	-0.391	-0.133	0.241	0.167	-0.072	-0.011	-0.036	0.072	-0.04	0.16	0.238	0.6	0.048	0.035	0.03	0.03	0.017	0.014	0.025	0.03	0.049	0.025	0.018	0.03	0.018	0.012	0.01	0.031
SN2007on	CSP	0.006127906	0.0834276474115807	NA	CL	N	13.044	12.918	13.077	13.385	4.243	3.95	2.959	3.088	0.813	0.289	-1.456	-0.94	-0.021	0.126	-0.273	1.255	-0.236	-0.135	-0.32	-1.07	0.031	0.03	0.029	0.04	0.019	0.014	0.041	0.029	0.039	0.027	0.019	0.04	0.02	0.016	0.012	0.025
SN2008bc	CSP	0.015720542	-0.0539397959685566	NA	NA	NA	14.752	14.771	14.987	15.556	-0.17	0.085	0.005	-0.944	-0.59	-0.212	0.118	1.436	0.429	-0.036	-0.407	0.504	0.038	0.272	0.189	-0.809	0.037	0.027	0.038	0.03	0.017	0.015	0.026	0.03	0.04	0.02	0.02	0.048	0.017	0.016	0.017	0.058
SN2008fp	CSP	0.006064529	0.547737810914802	NA	NA	NA	13.934	13.364	13.445	13.666	0.067	0.202	-0.398	-0.929	-0.616	-0.111	-0.121	1.027	0.249	0.02	-0.376	0.489	-0.052	0.119	0.043	-0.29	0.054	0.044	0.04	0.021	0.017	0.015	0.036	0.03	0.06	0.021	0.021	0.05	0.018	0.012	0.017	0.034
SN2008gp	CSP	0.032937453	0.0435930410987844	NA	NA	NA	16.544	16.492	16.716	17.18	1.177	0.617	0.047	-1.137	-0.682	-0.318	0.013	0.883	-0.184	0.252	-0.164	0.563	-0.07	-0.021	0.057	-0.411	0.133	0.157	0.081	0.062	0.118	0.102	0.027	0.031	0.052	0.046	0.023	0.041	0.081	0.077	0.026	0.047
SN2009dc	CSP	0.021717691	0.043589637557707	NA	NA	NA	15.139	15.095	15.281	15.678	-1.965	-3.591	-3.549	-3.33	0.306	1.011	-0.207	-1.287	0.019	0.005	-0.078	-0.331	0.132	-0.472	-0.713	-0.194	0.069	0.096	0.041	0.1	0.074	0.084	0.048	0.04	0.063	0.041	0.026	0.028	0.059	0.059	0.024	0.024
SN2009F	CSP	0.01291827	0.659776905390235	NA	NA	NA	17.003	16.239	16.315	16.282	3.103	5.252	5.719	8.012	1.989	0.766	0.018	0.799	-0.118	0.004	-0.406	-0.679	0.292	0.285	0.165	0.501	0.116	0.075	0.06	0.077	0.098	0.073	0.082	0.047	0.145	0.085	0.052	0.035	0.088	0.054	0.03	0.035
SN2008ar	CfA	0.027247517	-0.00227956389360173	NA	CN	N	16.291	16.278	16.466	17.003	0.817	0.169	0.206	-1.428	-0.684	-0.338	0.124	-0.005	0.178	-0.261	-0.047	0.192	0.017	0.141	0.122	0.013	0.185	0.099	0.108	0.136	0.155	0.067	0.072	0.147	0.068	0.048	0.1	0.105	0.1	0.064	0.082	0.1
SN2009ad	CfA	0.028383636	0.0123962647039058	NA	NA	NA	16.224	16.196	16.414	16.867	0.311	-0.251	0.019	-1.132	-0.348	0.179	-0.001	0.759	0.06	-0.032	-0.249	0.035	-0.031	0.047	0.256	0.127	0.179	0.121	0.117	0.15	0.178	0.079	0.043	0.163	0.083	0.05	0.051	0.125	0.097	0.069	0.079	0.125
SN2009al	CfA	0.023290779	0.16119673950066	NA	NA	NA	16.319	16.135	16.383	16.673	-0.306	0.03	-0.893	-1.462	0.322	0.101	-0.499	-0.494	0.086	-0.363	0.125	0.546	-0.062	-0.184	-0.071	0.093	0.22	0.156	0.174	0.19	0.135	0.083	0.051	0.088	0.088	0.071	0.069	0.109	0.071	0.074	0.062	0.055
SN2009dc	CfA	0.021717691	0.0350617407079223	NA	NA	NA	15.128	15.089	15.364	15.673	-2.828	-3.036	-2.972	1.633	0.513	0.514	-0.15	-0.486	-0.18	-0.423	0.012	-0.799	0.095	-0.052	-0.55	0.078	0.132	0.055	0.09	0.099	0.056	0.038	0.033	0.045	0.055	0.062	0.037	0.036	0.059	0.026	0.038	0.036
SN2009gf	CfA	0.019312694	0.141491556062789	NA	NA	NA	16.129	15.964	16.079	16.435	4.484	4.247	3.333	1.148	0.276	-0.232	0.079	0.205	0.307	0.224	-0.171	-0.111	-0.012	-0.061	-0.123	-0.197	0.327	0.242	0.261	0.293	0.22	0.12	0.101	0.075	0.127	0.088	0.058	0.188	0.058	0.028	0.088	0.186
SN2010Y	CfA	0.011283139	0.0418671039812324	NA	NA	NA	15.031	14.967	15.154	15.493	4.332	3.857	2.755	2.792	0.149	-0.189	-1.17	-0.973	0.226	-0.077	-0.068	1.262	-0.475	-0.42	-0.121	-0.374	0.131	0.103	0.083	0.102	0.084	0.053	0.061	0.05	0.065	0.047	0.053	0.074	0.07	0.065	0.039	0.044
SN2010ai	CfA	0.01926666	0.036351649154323	NA	NA	NA	16.109	16.069	16.257	16.627	2.826	1.831	1.572	1.713	-0.16	-0.159	-1.24	0.449	-0.165	-0.179	-0.284	1.541	-0.077	-0.121	0.504	0.341	0.276	0.175	0.164	0.292	0.196	0.098	0.054	0.116	0.061	0.046	0.064	0.123	0.082	0.068	0.057	0.092
SN2008bf	CfA	0.02216	0.0830951527309622	NA	NA	NA	15.802	15.71	15.94	16.411	0.237	-0.326	-0.05	-0.957	-0.345	0.064	0.128	0.912	-0.051	-0.066	-0.296	-0.197	0.026	-0.042	0.083	-0.092	0.132	0.095	0.097	0.13	0.083	0.064	0.078	0.093	0.09	0.065	0.056	0.191	0.081	0.066	0.045	0.104
